dc_solution,base_model,n_h,n_b,beta,se,p_tost,w1,w1_lo,w1_hi,clm_equiv,w1_equiv,note,p_tost_bh
DC-DC converter,gemma3-12b,12,300,NA,NA,NA,0.041666666666666664,0,0.10416666666666667,Not equivalent / NA,Inconclusive,insufficient categories,1
DC-DC converter,llama-pro,12,300,-2.098986129187002,0.7836761260139677,0.9916590609356593,0.11333333333333334,0.052500000000000005,0.16083333333333333,Not equivalent / NA,Inconclusive,ok,1
DC-DC converter,mistral,12,300,-1.7162058792940016,0.7831802883237483,0.9717014502810918,0.09,0.030833333333333338,0.13666666666666666,Not equivalent / NA,Inconclusive,ok,1
DC-DC converter,phi4,12,300,NA,NA,NA,0.041666666666666664,0,0.10416666666666667,Not equivalent / NA,Inconclusive,insufficient categories,1
DC connectors,gemma3-12b,23,300,2.944403271151429,0.5560011458375462,0.9999995068239049,0.12293478260869564,0.04684782608695652,0.21661503623188375,Not equivalent / NA,Inconclusive,ok,0.999999914267966
DC connectors,llama-pro,23,300,-2.772901300386296,0.5001538655190823,0.9999998283212721,0.18735507246376812,0.13634057971014493,0.23583333333333334,Not equivalent / NA,Not equivalent,ok,0.999999914267966
DC connectors,mistral,23,300,3.5157214717494885,0.6298112176402098,0.999999914267966,0.12626811594202897,0.050181159420289854,0.21741304347826054,Not equivalent / NA,Inconclusive,ok,0.999999914267966
DC connectors,phi4,23,300,1.422595194866033,0.4792515888451817,0.9938385439148434,0.09710144927536232,0.02184782608695652,0.18905797101449273,Not equivalent / NA,Inconclusive,ok,0.999999914267966
DC measurement device,gemma3-12b,11,300,NA,NA,NA,0.18181818181818182,0.11363636363636363,0.25,Not equivalent / NA,Not equivalent,insufficient categories,1
DC measurement device,llama-pro,11,300,-1.6058600758727077,0.7138183310010571,0.973631644933318,0.05068181818181819,0.0018939393939393923,0.12053030303030303,Not equivalent / NA,Inconclusive,ok,1
DC measurement device,mistral,11,300,0.8740609985024446,0.6868075732227463,0.8283699875837215,0.05015151515151517,0.002803030303030307,0.11249999999999999,Not equivalent / NA,Inconclusive,ok,1
DC measurement device,phi4,11,300,0.6580555816651299,0.6870348677936297,0.7366421887247757,0.03681818181818183,0.002424242424242412,0.10083333333333333,Not equivalent / NA,Inconclusive,ok,1
DC solution design tool,gemma3-12b,12,300,-4.997212273274029,0.7927032094406489,0.9999999991413745,0.16333333333333333,0.09916666666666665,0.22666666666666666,Not equivalent / NA,Inconclusive,ok,0.9999999991413745
DC solution design tool,llama-pro,12,300,-2.5089213673587913,0.6344799398266799,0.9998424752983059,0.13249999999999998,0.06333333333333332,0.19583333333333333,Not equivalent / NA,Inconclusive,ok,0.9999999991413745
DC solution design tool,mistral,12,300,1.3975939163698836,0.6395688771782028,0.9668445098297208,0.05583333333333333,0.005833333333333336,0.12333333333333335,Not equivalent / NA,Inconclusive,ok,0.9999999991413745
DC solution design tool,phi4,12,300,2.1832383353613563,0.6640942152741237,0.9984189869105037,0.06999999999999999,0.008333333333333331,0.13583333333333333,Not equivalent / NA,Inconclusive,ok,0.9999999991413745
LVAC-LVDC interlink converter,gemma3-12b,23,300,-0.46571739299966475,0.5260881608167493,0.6776328808585668,0.05072463768115942,0.019818840579710152,0.0866304347826087,Not equivalent / NA,Equivalent,ok,0.9999999912656313
LVAC-LVDC interlink converter,llama-pro,23,300,-1.9898600677490483,0.5272184367921537,0.9995974192652771,0.1423913043478261,0.10311594202898551,0.17583333333333334,Not equivalent / NA,Not equivalent,ok,0.9999999912656313
LVAC-LVDC interlink converter,mistral,23,300,-3.296321446669372,0.5453378064905363,0.9999999912656313,0.1923913043478261,0.1539483695652174,0.22333333333333333,Not equivalent / NA,Not equivalent,ok,0.9999999912656313
LVAC-LVDC interlink converter,phi4,23,300,-1.7076849856230958,0.5258549182202436,0.9976219191443613,0.1265579710144928,0.08644927536231885,0.15916666666666668,Not equivalent / NA,Inconclusive,ok,0.9999999912656313
Network design tool for DC solutions,gemma3-12b,11,300,-1.2084736581231545,0.6869061770981008,0.9242775456248951,0.07098484848484848,0.006969696969696987,0.1331060606060606,Not equivalent / NA,Inconclusive,ok,0.9851536249050875
Network design tool for DC solutions,llama-pro,11,300,-1.7193239691425077,0.6881632523516314,0.9851536249050875,0.10098484848484848,0.02946969696969698,0.16333333333333333,Not equivalent / NA,Inconclusive,ok,0.9851536249050875
Network design tool for DC solutions,mistral,11,300,1.0116009116779796,0.6999278462090935,0.8700195971543735,0.03818181818181818,0.0037821969696969753,0.10886363636363636,Not equivalent / NA,Inconclusive,ok,0.9851536249050875
Network design tool for DC solutions,phi4,11,300,1.3742023148750881,0.7074210251432045,0.9481441727033721,0.04651515151515151,0.0010606060606060605,0.11553030303030302,Not equivalent / NA,Inconclusive,ok,0.9851536249050875
Protection DC system design tool,gemma3-12b,12,300,-0.4384457866805593,0.6233383890631871,0.6351038582915733,0.025833333333333333,0.0016666666666666635,0.08918749999999971,Not equivalent / NA,Equivalent,ok,0.9976333485077428
Protection DC system design tool,llama-pro,12,300,-1.6047758993282863,0.6255404097042848,0.9864023120499277,0.09500000000000001,0.024999999999999994,0.16,Not equivalent / NA,Inconclusive,ok,0.9976333485077428
Protection DC system design tool,mistral,12,300,-1.9980959021832443,0.628380687270949,0.9976333485077428,0.11333333333333333,0.044999999999999984,0.17833333333333332,Not equivalent / NA,Inconclusive,ok,0.9976333485077428
Protection DC system design tool,phi4,12,300,0.8690378428820723,0.6310808404890339,0.8469579041426498,0.039999999999999994,0.0016666666666666635,0.10916666666666668,Not equivalent / NA,Inconclusive,ok,0.9976333485077428
Semiconductor-based circuit breaker,gemma3-12b,12,300,NA,NA,NA,0,0,0,Not equivalent / NA,Equivalent,insufficient categories,NA
Semiconductor-based circuit breaker,llama-pro,12,300,NA,NA,NA,0.2733333333333333,0.265,0.2825,Not equivalent / NA,Not equivalent,insufficient categories,NA
Semiconductor-based circuit breaker,mistral,12,300,NA,NA,NA,0.2425,0.2375,0.24666666666666667,Not equivalent / NA,Not equivalent,insufficient categories,NA
Semiconductor-based circuit breaker,phi4,12,300,NA,NA,NA,0.03,0.020833333333333332,0.04,Not equivalent / NA,Equivalent,insufficient categories,NA
Smart and sustainable DC cables,gemma3-12b,23,300,0.17188693410458397,0.4485008630736173,0.4545062050105483,0.033043478260869556,0.008713768115942032,0.11576086956521739,Not equivalent / NA,Inconclusive,ok,0.7919096065824569
Smart and sustainable DC cables,llama-pro,23,300,0.3296776344994031,0.44824015448045174,0.5939322049368427,0.04217391304347826,0.007173913043478253,0.12659420289855072,Not equivalent / NA,Inconclusive,ok,0.7919096065824569
Smart and sustainable DC cables,mistral,23,300,-0.30420382685856256,0.45015204416893934,0.5714524110536303,0.06304347826086956,0.016340579710144916,0.12405797101449276,Not equivalent / NA,Inconclusive,ok,0.7919096065824569
Smart and sustainable DC cables,phi4,23,300,2.5455493513550618,0.47668472510540505,0.9999994476163615,0.13384057971014493,0.06192028985507247,0.21659420289855072,Not equivalent / NA,Inconclusive,ok,0.9999994476163615
Solid-state circuit breaker,gemma3-12b,11,300,NA,NA,NA,0.09090909090909091,0,0.22727272727272727,Not equivalent / NA,Inconclusive,insufficient categories,1
Solid-state circuit breaker,llama-pro,11,300,-3.926745109504329,0.8209558544672562,0.9999967788573066,0.23000000000000004,0.1668181818181818,0.2965151515151515,Not equivalent / NA,Not equivalent,ok,1
Solid-state circuit breaker,mistral,11,300,-3.7450975863281717,0.8167409409274152,0.9999919182619147,0.22916666666666669,0.16265151515151516,0.2965151515151515,Not equivalent / NA,Not equivalent,ok,1
Solid-state circuit breaker,phi4,11,300,2.319359380494688,0.8745628675466843,0.9917321654566325,0.08507575757575758,0.004166666666666667,0.2256060606060606,Not equivalent / NA,Inconclusive,ok,1
Static protection system,gemma3-12b,12,300,-27.797776466636385,NA,NA,0.31166666666666665,0.26416666666666666,0.3441666666666667,Not equivalent / NA,Not equivalent,ok,1
Static protection system,llama-pro,12,300,-6.132910149290008,1.1122243712277842,0.9999999462203016,0.25083333333333335,0.205,0.2791666666666667,Not equivalent / NA,Not equivalent,ok,1
Static protection system,mistral,12,300,NA,NA,NA,0.22916666666666666,0.1875,0.25,Not equivalent / NA,Not equivalent,insufficient categories,1
Static protection system,phi4,12,300,-2.102431058950166,1.0509688594482205,0.9631239060513888,0.08583333333333334,0.03916666666666667,0.11666666666666667,Not equivalent / NA,Inconclusive,ok,1
